"latitude";"longitude";"unixtime";"velocidad";"file_name"
41.904216;12.494377;12:03:19;0;242
41.907612;12.489680;12:03:19;1;301
41.904322;12.491215;12:03:19;25;48
41.919440;12.498342;12:03:20;21;115
41.910982;12.498370;12:03:20;0;194
41.906380;12.481688;12:03:20;2;253
41.903661;12.501555;12:03:20;5;330
41.903456;12.485548;12:03:21;26;200
41.902035;12.503041;12:03:21;16;84
41.901324;12.501069;12:03:22;0;110
41.917860;12.491606;12:03:22;0;138
41.913525;12.502361;12:03:22;41;171
41.919493;12.494926;12:03:22;0;3
41.880381;12.508505;12:03:22;0;363
41.901181;12.501029;12:03:25;0;106
41.906480;12.481796;12:03:25;0;107
41.903843;12.489094;12:03:25;0;131
41.894019;12.507444;12:03:25;38;169
41.901092;12.500711;12:03:25;0;182
41.906812;12.490152;12:03:25;17;24
41.901155;12.500839;12:03:25;0;246
41.905235;12.514792;12:03:25;0;287
41.904437;12.501835;12:03:25;0;303
41.907953;12.491571;12:03:25;0;320
41.907657;12.490600;12:03:25;0;349
41.907621;12.490316;12:03:25;0;81
41.903200;12.496077;12:03:26;0;100
41.881166;12.515121;12:03:26;20;129
41.902424;12.483889;12:03:26;2;256
41.901790;12.497366;12:03:26;20;261
41.895642;12.482657;12:03:26;32;294
41.912953;12.502073;12:03:26;0;367
41.917897;12.491655;12:03:26;0;75
41.903635;12.488658;12:03:26;0;85
41.903263;12.487109;12:03:27;23;119
41.903161;12.501166;12:03:28;0;141
41.894376;12.481014;12:03:28;17;226
41.903648;12.501404;12:03:28;3;330
41.901915;12.511935;12:03:28;0;339
41.897120;12.497989;12:03:29;1;113
41.904216;12.494395;12:03:29;0;242
41.907572;12.489711;12:03:29;0;301
41.886768;12.507940;12:03:29;2;31
41.904619;12.491962;12:03:29;7;48
41.906410;12.481634;12:03:30;0;253
41.901777;12.503398;12:03:30;21;84
41.906281;12.490149;12:03:31;50;126
41.913948;12.503466;12:03:31;0;171
41.910982;12.498370;12:03:31;0;194
41.904109;12.485749;12:03:31;6;200
41.901319;12.501062;12:03:32;0;110
41.890477;12.494704;12:03:32;39;186
41.906513;12.490185;12:03:32;33;24
41.905235;12.514792;12:03:32;64;287
41.919493;12.494926;12:03:32;0;3
41.880381;12.508505;12:03:32;0;363
41.907621;12.490316;12:03:32;0;81
41.901166;12.501014;12:03:33;1;106
41.918929;12.497735;12:03:33;9;115
41.881429;12.514791;12:03:33;8;129
41.903843;12.489094;12:03:33;0;131
